Provinsi,Tahun,IKTL_(%),Karhutla_(ha),Kendaraan_Bermotor,Rumah_Tangga_Listrik_PLN_(%),Indeks_Kualitas_Udara_(%)
Aceh,2022,"76,33",3716,2.426.809,"99,69","90,62"
Sumatera Utara,2022,"48,9",7516,7.339.034,"98,7","89,69"
Sumatera Barat,2022,"66,27",9832,2.656.691,"98,82","90,65"
Riau,2022,"51,4",4915,4.230.607,"95,2","90,69"
Jambi,2022,"52,38",918,2.572.804,"98,39","89,85"
Sumatera Selatan,2022,"43,47",3723,4.019.095,"96,55","89,1"
Bengkulu,2022,"55,4",1620,1.127.170,"99,21","91,27"
Lampung,2022,"35,22",7989,3.921.375,"98,66","87,32"
Kepulauan Bangka Belitung,2022,"40,23",328,1.160.091,"99,53","89,75"
Kepulauan Riau,2022,"59,15",23,1.137.520,"97,96","90,27"
DKI Jakarta,2022,"27,07",0,21.911.811,"99,73","68,06"
Jawa Barat,2022,"41,88",2005,17.600.134,"99,77","80,31"
Jawa Tengah,2022,"42,45",107,19.534.880,"99,96","85,14"
DI Yogyakarta,2022,"46,28",0,3.112.170,"99,95","89,16"
Jawa Timur,2022,"47,36",2380,23.605.425,"99,59","84,28"
Banten,2022,"38,96",0,2.862.515,"99,56","73,97"
Bali,2022,"43,36",0,4.626.094,"99,92","89,19"
Nusa Tenggara Barat,2022,"65,61",30567,2.007.385,"99,68","89,3"
Nusa Tenggara Timur,2022,"58,74",70637,993.662,"85,58","91,52"
Kalimantan Barat,2022,"59,82",21836,2.903.952,"89,99","90,9"
Kalimantan Tengah,2022,"75,56",1554,1.553.148,"85,36","91,25"
Kalimantan Selatan,2022,"50,82",429,2.881.340,"98,78","89,52"
Kalimantan Timur,2022,"82,33",373,3.352.990,"95,56","87,59"
Kalimantan Utara,2022,100,370,189.091,"94,16","94,52"
Sulawesi Utara,2022,"61,89",469,1.054.190,"99,22","92,41"
Sulawesi Tengah,2022,"83,1",3704,1.315.220,"95,26","91,86"
Sulawesi Selatan,2022,"55,46",997,4.680.584,"97,36","90,35"
Sulawesi Tenggara,2022,"74,33",3098,1.057.376,"97,02","92,05"
Gorontalo,2022,"85,45",101,490.928,"98,43","94,47"
Sulawesi Barat,2022,"72,65",488,393.158,"92,85","91,88"
Maluku,2022,"90,21",14954,347.614,"93,15","91,46"
Maluku Utara,2022,"86,58",171,326.767,"90,98","92,74"
Papua Barat,2022,100,1738,376.950,"83,49","95,79"
Papua,2022,100,8336,493.237,"43,04","95,32"